-	Ospecificerad
A	Matsmältningsorgan och ämnesomsättning
A01	Medel vid mun- och tandsjukdomar
A01A	Medel vid mun- och tandsjukdomar
A01AA	Medel mot karies
A01AA01	Natriumfluorid
A01AA02	Natriummonofluorofosfat
A01AA03	Olaflur
A01AA04	Tennfluorid
A01AA30	Kombinationer
A01AA51	Natriumfluorid, kombinationer
A01AB	Antiinfektiva och antiseptiska medel för lokal behandling i munhålan
A01AB02	Väteperoxid
A01AB03	Klorhexidin
A01AB04	Amfotericin B
A01AB05	Polynoxylin
A01AB06	Domifen
A01AB07	Hydroxikinolin
A01AB08	Neomycin
A01AB09	Mikonazol
A01AB10	Natamycin
A01AB11	Övrigt
A01AB12	Hexetidin
A01AB13	Tetracyklin
A01AB14	Bensoxoniumklorid
A01AB15	Tibezoniumjodid
A01AB16	Mepartricin
A01AB17	Metronidazol
A01AB18	Klotrimazol
A01AB19	Natriumperborat
A01AB21	Klortetracyklin
A01AB22	Doxycyklin
A01AB23	Minocyklin
A01AC	Kortikosteroider för lokal behandling i munhålan
A01AC01	Triamcinolon
A01AC02	Dexametason
A01AC03	Hydrokortison
A01AC54	Prednisolon, kombinationer
A01AD	Andra medel för lokal behandling i munhålan
A01AD01	Adrenalin
A01AD02	Bensydamin
A01AD05	Acetylsalicylsyra
A01AD06	Adrenon
A01AD07	Amlexanox
A01AD08	Bekaplermin
A01AD11	Övrigt
A02	Medel vid syrarelaterade symtom
A02A	Antacida
A02AA	Magnesiumföreningar
A02AA01	Magnesiumkarbonat
A02AA02	Magnesiumoxid
A02AA03	Magnesiumperoxid
A02AA04	Magnesiumhydroxid
A02AA05	Magnesiumsilikat
A02AA10	Kombinationer
A02AB	Aluminiumföreningar
A02AB01	Aluminiumhydroxid
A02AB02	Algeldrat
A02AB03	Aluminiumfosfat
A02AB04	Dihydroxialuminiumnatriumkarbonat
A02AB05	Aluminiumacetoacetat
A02AB06	Aloglutamol
A02AB07	Aluminium glycinat
A02AB10	Kombinationer
A02AC	Kalciumföreningar
A02AC01	Kalciumkarbonat
A02AC02	Kalciumsilikat
A02AC10	Kombinationer
A02AD	Kombinationer och komplex av aluminium-, kalcium- och magnesiumföreningar
A02AD01	Aluminium-, kalcium- och magnesiumsalter
A02AD02	Magaldrat
A02AD03	Almagat
A02AD04	Hydrotalcit
A02AD05	Almasilat
A02AF	Antacida och medel mot meteorism
A02AF01	Magaldrat och medel mot meteorism
A02AF02	Aluminium-, kalcium- och magnesiumsalter samt medel mot meteorism
A02AG	Antacida och spasmolytika
A02AH	Antacida med natriumvätekarbonat
A02AX	Antacida, övriga kombinationer
A02B	Medel vid magsår och gastroesofageal refluxsjukdom
A02BA	Histamin-2-receptorantagonister
A02BA01	Cimetidin
A02BA02	Ranitidin
A02BA03	Famotidin
A02BA04	Nizatidin
A02BA05	Niperotidin
A02BA06	Roxatidin
A02BA07	Ranitidinvismutcitrat
A02BA08	Lafutidin
A02BA51	Cimetidin, kombinationer
A02BA53	Famotidin, kombinationer
A02BB	Prostaglandiner
A02BB01	Misoprostol
A02BB02	Enprostil
A02BC	Protonpumpshämmare
A02BC01	Omeprazol
A02BC02	Pantoprazol
A02BC03	Lansoprazol
A02BC04	Rabeprazol
A02BC05	Esomeprazol
A02BC06	Dexlansoprazol
A02BC07	Dexrabeprazol
A02BC53	Lansoprazol, kombinationer
A02BC54	Rabeprazol, kombinationer
A02BD	Kombinationer med antibiotika för eradikering av Helicobacter pylori
A02BD01	Omeprazol, amoxicillin och metronidazol
A02BD02	Lansoprazol, tetracyklin och metronidazol
A02BD03	Lansoprazol, amoxicillin och metronidazol
A02BD04	Pantoprazol, amoxicillin och klaritromycin
A02BD05	Omeprazol, amoxicillin och klaritromycin
A02BD06	Esomeprazol, amoxicillin och klaritromycin
A02BD07	Lansoprazol, amoxicillin och klaritromycin
A02BD08	Vismutsubcitrat, tetracyklin och metronidazol
A02BD09	Lansoprazol, klaritromycin och tinidazol
A02BD10	Lansoprazol, amoxicillin och levofloxacin
A02BX	Övriga medel vid magsår och gastroesofageal refluxsjukdom
A02BX01	Karbenoxolon
A02BX02	Sukralfat
A02BX03	Pirenzepin
A02BX04	Metiosulfonklorid
A02BX05	Vismutsubcitrat
A02BX06	Proglumid
A02BX07	Gefarnat
A02BX08	Sulglikotid
A02BX09	Acetoxolon
A02BX10	Zolimidin
A02BX11	Troxipid
A02BX12	Vismutsubnitrat
A02BX13	Alginsyra
A02BX51	Karbenoxolon, kombinationer exkl. psykoleptika
A02BX71	Karbenoxolon, kombination med psykoleptika
A02BX77	Gefarnat, kombination med lugnande medel
A02D	Medel mot meteorism
A02DA	Medel mot meteorism
A02DA01	Silikoner
A02E	Medel vid gastroesofageal reflux
A02EA	Medel vid gastroesofageal reflux
A02EA01	Alginsyra
A02X	Övriga medel vid syrarelaterade sjukdomar
A03	Medel vid funktionella mag-tarmsymtom
A03A	Medel vid funktionella mag-tarmsymtom
A03AA	Syntetiska antikolinergika, estrar med tertiär aminogrupp
A03AA01	Oxifencyklimin
A03AA03	Kamylofin
A03AA04	Mebeverin
A03AA05	Trimebutin
A03AA06	Rociverin
A03AA07	Dicycloverin
A03AA08	Dihexiverin
A03AA09	Difemerin
A03AA30	Piperidolat
A03AB	Syntetiska antikolinergika, kvartära ammoniumföreningar
A03AB01	Bensilon
A03AB02	Glykopyrroniumbromid
A03AB03	Oxyfenon
A03AB04	Pentienat
